pgs_id,mode,metric,value,baseline_value,reduction,claim,matched_random_mode
PGS004133,filter_10,corr_edited_original_EAS,0.976266,,,,
PGS004133,filter_10,corr_edited_original_EUR,0.898844,,,,
PGS004133,filter_10,corr_edited_original_SAS,0.953974,,,,
PGS001288,filter_10,mean_abs_delta_EUR,0.145063,0.096028,-0.049035,ancestry_mean_separation_not_portability,
PGS001288,filter_10,weight_mass_retained,0.798102,,,,
PGS001288,filter_10,variant_frac_retained,0.90184,,,,
PGS001288,filter_10,score_var_retained_AFR,0.550491,,,,
PGS001288,filter_10,score_var_retained_AMR,0.727959,,,,
PGS001288,filter_10,score_var_retained_EAS,0.647283,,,,
PGS001288,filter_10,score_var_retained_EUR,0.672706,,,,
PGS001288,filter_10,score_var_retained_SAS,0.64562,,,,
PGS001288,filter_10,corr_edited_original_AFR,0.764469,,,,
PGS001288,filter_10,corr_edited_original_AMR,0.837237,,,,
PGS001288,filter_10,corr_edited_original_EAS,0.787681,,,,
PGS001288,filter_10,corr_edited_original_EUR,0.798905,,,,
PGS001288,filter_10,corr_edited_original_SAS,0.797942,,,,
PGS000191,random,mean_abs_delta_EUR,0.159482,0.184472,0.0249903,ancestry_mean_separation_not_portability,
PGS000191,random,weight_mass_retained,0.910487,,,,
PGS000191,random,variant_frac_retained,0.899225,,,,
PGS000191,random,score_var_retained_AFR,0.965692,,,,
PGS000191,random,score_var_retained_AMR,0.895786,,,,
PGS000191,random,score_var_retained_EAS,0.908637,,,,
PGS000191,random,score_var_retained_EUR,0.91442,,,,
PGS000191,random,score_var_retained_SAS,0.9442,,,,
PGS000191,random,corr_edited_original_AFR,0.968914,,,,
PGS000191,random,corr_edited_original_AMR,0.967126,,,,
PGS000191,random,corr_edited_original_EAS,0.959851,,,,
PGS000191,random,corr_edited_original_EUR,0.972635,,,,
PGS000191,random,corr_edited_original_SAS,0.96531,,,,
PGS004133,random,mean_abs_delta_EUR,0.473485,0.559182,0.0856964,ancestry_mean_separation_not_portability,
PGS004133,random,weight_mass_retained,0.922033,,,,
PGS004133,random,variant_frac_retained,0.901316,,,,
PGS004133,random,score_var_retained_AFR,0.95566,,,,
PGS004133,random,score_var_retained_AMR,0.916001,,,,
PGS004133,random,score_var_retained_EAS,0.899893,,,,
PGS004133,random,score_var_retained_EUR,0.877234,,,,
PGS004133,random,score_var_retained_SAS,0.918851,,,,
PGS004133,random,corr_edited_original_AFR,0.968343,,,,
PGS004133,random,corr_edited_original_AMR,0.976404,,,,
PGS004133,random,corr_edited_original_EAS,0.971078,,,,
PGS004133,random,corr_edited_original_EUR,0.967336,,,,
PGS004133,random,corr_edited_original_SAS,0.962048,,,,
PGS001288,random,mean_abs_delta_EUR,0.0916637,0.096028,0.00436426,ancestry_mean_separation_not_portability,
PGS001288,random,weight_mass_retained,0.93394,,,,
PGS001288,random,variant_frac_retained,0.90184,,,,
PGS001288,random,score_var_retained_AFR,0.948407,,,,
PGS001288,random,score_var_retained_AMR,0.992996,,,,
PGS001288,random,score_var_retained_EAS,0.966375,,,,
PGS001288,random,score_var_retained_EUR,0.956347,,,,
PGS001288,random,score_var_retained_SAS,0.97776,,,,
PGS001288,random,corr_edited_original_AFR,0.975611,,,,
PGS001288,random,corr_edited_original_AMR,0.981453,,,,
PGS001288,random,corr_edited_original_EAS,0.982982,,,,
PGS001288,random,corr_edited_original_EUR,0.979544,,,,
PGS001288,random,corr_edited_original_SAS,0.978999,,,,
PGS000191,duffy_gate,mean_abs_delta_EUR,0.183573,0.184472,0.000899665,ancestry_mean_separation_not_portability,
PGS000191,duffy_gate,weight_mass_retained,0.983142,,,,
PGS000191,duffy_gate,variant_frac_retained,0.994186,,,,
PGS000191,duffy_gate,score_var_retained_AFR,0.998044,,,,
PGS000191,duffy_gate,score_var_retained_AMR,0.993481,,,,
PGS000191,duffy_gate,score_var_retained_EAS,1.00408,,,,
PGS000191,duffy_gate,score_var_retained_EUR,0.9947,,,,
PGS000191,duffy_gate,score_var_retained_SAS,0.991418,,,,
PGS000191,duffy_gate,corr_edited_original_AFR,0.999955,,,,
PGS000191,duffy_gate,corr_edited_original_AMR,0.998353,,,,
PGS000191,duffy_gate,corr_edited_original_EAS,0.999597,,,,
PGS000191,duffy_gate,corr_edited_original_EUR,0.997749,,,,
PGS000191,duffy_gate,corr_edited_original_SAS,0.998745,,,,
PGS004133,duffy_gate,mean_abs_delta_EUR,0.559182,0.559182,1.11022e-16,ancestry_mean_separation_not_portability,
PGS004133,duffy_gate,weight_mass_retained,1,,,,
PGS004133,duffy_gate,variant_frac_retained,1,,,,
PGS004133,duffy_gate,score_var_retained_AFR,1,,,,
PGS004133,duffy_gate,score_var_retained_AMR,1,,,,
PGS004133,duffy_gate,score_var_retained_EAS,1,,,,
PGS004133,duffy_gate,score_var_retained_EUR,1,,,,
PGS004133,duffy_gate,score_var_retained_SAS,1,,,,
PGS004133,duffy_gate,corr_edited_original_AFR,1,,,,
PGS004133,duffy_gate,corr_edited_original_AMR,1,,,,
PGS004133,duffy_gate,corr_edited_original_EAS,1,,,,
PGS004133,duffy_gate,corr_edited_original_EUR,1,,,,
PGS004133,duffy_gate,corr_edited_original_SAS,1,,,,
PGS001288,duffy_gate,mean_abs_delta_EUR,0.096028,0.096028,0,ancestry_mean_separation_not_portability,
PGS001288,duffy_gate,weight_mass_retained,1,,,,
PGS001288,duffy_gate,variant_frac_retained,1,,,,
