pgs_id,trait,mode,metric,value,baseline_value,delta_vs_baseline,reduction,n_labeled_retained
PGS004840,T2D,filter_20,median_I2_retained,0.0,,,,234410.0
PGS004840,T2D,filter_20,mean_sign_concordance_retained,0.6343815326690674,,,,234410.0
PGS004840,T2D,filter_20,weight_retained_frac,0.8335994981807673,1.0,-0.16640050181923272,0.16640050181923272,
PGS000018,T2D,reweight_linear,mean_abs_delta_EUR,0.6372847156854851,0.7190071660432993,-0.08172245035781422,0.08172245035781422,
PGS000018,T2D,reweight_linear,kendall_w,0.009876543209876543,0.01728395061728395,-0.007407407407407406,0.007407407407407406,
PGS000018,T2D,reweight_linear,median_I2_retained,0.0,,,,75379.0
PGS000018,T2D,reweight_linear,mean_sign_concordance_retained,0.6301847100257874,,,,75379.0
PGS000018,T2D,reweight_linear,weight_retained_frac,0.6956389565584329,1.0,-0.3043610434415671,0.3043610434415671,
PGS004696,CAD,reweight_linear,mean_abs_delta_EUR,2.5035601914230403,2.5994430113029185,-0.09588281987987823,0.09588281987987823,
PGS004696,CAD,reweight_linear,kendall_w,0.009876543209876543,0.01728395061728395,-0.007407407407407406,0.007407407407407406,
PGS004696,CAD,reweight_linear,median_I2_retained,0.0,,,,56256.0
PGS004696,CAD,reweight_linear,mean_sign_concordance_retained,0.6269418001174927,,,,56256.0
PGS004696,CAD,reweight_linear,weight_retained_frac,0.6711378549802606,1.0,-0.3288621450197394,0.3288621450197394,
PGS004698,CAD,reweight_linear,mean_abs_delta_EUR,2.2582021262150342,2.287875058080976,-0.029672931865941887,0.029672931865941887,
PGS004698,CAD,reweight_linear,kendall_w,0.009876543209876543,0.01728395061728395,-0.007407407407407406,0.007407407407407406,
PGS004698,CAD,reweight_linear,median_I2_retained,0.0,,,,39217.0
PGS004698,CAD,reweight_linear,mean_sign_concordance_retained,0.6361477971076965,,,,39217.0
PGS004698,CAD,reweight_linear,weight_retained_frac,0.7410776743417443,1.0,-0.2589223256582557,0.2589223256582557,
PGS003897,BMI,reweight_linear,mean_abs_delta_EUR,0.32819231836556045,0.37614086305643446,-0.047948544690874007,0.047948544690874007,
PGS003897,BMI,reweight_linear,kendall_w,0.009876543209876543,0.01728395061728395,-0.007407407407407406,0.007407407407407406,
PGS003897,BMI,reweight_linear,median_I2_retained,0.3653784394264221,,,,12209.0
PGS003897,BMI,reweight_linear,mean_sign_concordance_retained,0.5612508654594421,,,,12209.0
PGS003897,BMI,reweight_linear,weight_retained_frac,0.578095611177765,1.0,-0.421904388822235,0.421904388822235,
PGS002853,LDL,reweight_linear,mean_abs_delta_EUR,0.42918529863923105,0.45118847641173754,-0.022003177772506488,0.022003177772506488,
PGS002853,LDL,reweight_linear,kendall_w,0.009876543209876543,0.01728395061728395,-0.007407407407407406,0.007407407407407406,
PGS002853,LDL,reweight_linear,median_I2_retained,0.04229341074824333,,,,448695.0
PGS002853,LDL,reweight_linear,mean_sign_concordance_retained,0.5856369137763977,,,,448695.0
PGS002853,LDL,reweight_linear,weight_retained_frac,0.7316521292161362,1.0,-0.2683478707838638,0.2683478707838638,
PGS002858,LDL,reweight_linear,mean_abs_delta_EUR,0.4494088769260928,0.4849669332315403,-0.03555805630544745,0.03555805630544745,
PGS002858,LDL,reweight_linear,kendall_w,0.009876543209876543,0.01728395061728395,-0.007407407407407406,0.007407407407407406,
PGS002858,LDL,reweight_linear,median_I2_retained,0.042294204235076904,,,,448696.0
PGS002858,LDL,reweight_linear,mean_sign_concordance_retained,0.5856370329856873,,,,448696.0
PGS002858,LDL,reweight_linear,weight_retained_frac,0.7317207479599241,1.0,-0.26827925204007586,0.26827925204007586,
PGS003092,BMI,reweight_linear,mean_abs_delta_EUR,0.48852421485065517,0.3704443214771145,0.11807989337354069,-0.11807989337354069,
PGS003092,BMI,reweight_linear,kendall_w,0.009876543209876543,0.01728395061728395,-0.007407407407407406,0.007407407407407406,
PGS003092,BMI,reweight_linear,median_I2_retained,0.1678614616394043,,,,914477.0
PGS003092,BMI,reweight_linear,mean_sign_concordance_retained,0.5797567963600159,,,,914477.0
PGS003092,BMI,reweight_linear,weight_retained_frac,0.7175764067126472,1.0,-0.2824235932873528,0.2824235932873528,
PGS000014,CAD,reweight_linear,mean_abs_delta_EUR,2.0748457093762465,2.5558140597276946,-0.48096835035144814,0.48096835035144814,
PGS000014,CAD,reweight_linear,kendall_w,0.009876543209876543,0.01728395061728395,-0.007407407407407406,0.007407407407407406,
PGS000014,CAD,reweight_linear,median_I2_retained,0.0,,,,274387.0
PGS000014,CAD,reweight_linear,mean_sign_concordance_retained,0.6196289658546448,,,,274387.0
PGS000014,CAD,reweight_linear,weight_retained_frac,0.6414294507741792,1.0,-0.35857054922582077,0.35857054922582077,
PGS004840,T2D,reweight_linear,mean_abs_delta_EUR,1.2897011063837323,1.2107554439711516,0.07894566241258061,-0.07894566241258061,
PGS004840,T2D,reweight_linear,kendall_w,0.009876543209876543,0.01728395061728395,-0.007407407407407406,0.007407407407407406,
PGS004840,T2D,reweight_linear,median_I2_retained,0.0,,,,383834.0
PGS004840,T2D,reweight_linear,mean_sign_concordance_retained,0.6340348720550537,,,,383834.0
PGS004840,T2D,reweight_linear,weight_retained_frac,0.6180604266867376,1.0,-0.38193957331326245,0.38193957331326245,
