pgs_id,mode,trait,status,n_variants_original,n_variants_edited,n_removed,variant_retention,weight_mass_retention,mass_removed,n_af_overlap,n_draws,observed_mad_baseline,observed_mad_edited,observed_mad_reduction,expected_mad_baseline,expected_mad_edited,expected_mad_reduction,delta_vs_random_n,delta_vs_random_mass,empirical_p_n,empirical_p_mass,random_n_mad_reduction_mean,random_mass_mad_reduction_mean,claim
PGS000014,flag,CAD,ok,6.8804e+06,6.8804e+06,0,1,1,1.56045e-05,96136,500,,,,0.00831006,0.00831006,0,,-1.09687e-08,,0.500998,,1.09687e-08,ancestry_mean_separation_vs_matched_random_af_expected
PGS000014,fst,CAD,ok,6.8804e+06,6.19236e+06,688040,0.9,0.913752,5.00951,96136,500,,,,0.00831006,0.00584955,0.00246051,-0.00584843,0.00174663,1,0.00199601,0.00830894,0.000713876,ancestry_mean_separation_vs_matched_random_af_expected
PGS000014,ld,CAD,ok,6.8804e+06,6.19236e+06,688040,0.9,0.939321,3.52441,96136,500,,,,0.00831006,0.00784296,0.000467107,-0.00784172,-3.88053e-05,1,0.618762,0.00830883,0.000505912,ancestry_mean_separation_vs_matched_random_af_expected
PGS000014,maf,CAD,ok,6.8804e+06,6.19236e+06,688040,0.9,0.780964,12.7221,96136,500,,,,0.00831006,0.00783817,0.000471888,-0.00783685,-0.00133369,1,1,0.00830874,0.00180558,ancestry_mean_separation_vs_matched_random_af_expected
PGS000014,duffy_gate,CAD,ok,6.8804e+06,6.87949e+06,918,0.999867,0.999901,0.00575265,96136,500,,,,0.00831006,0.00831006,0,-7.867e-05,-1.01771e-06,0.922156,0.560878,7.867e-05,1.01771e-06,ancestry_mean_separation_vs_matched_random_af_expected
PGS004840,filter_5,T2D,ok,6.05157e+06,5.74899e+06,302578,0.95,0.957966,10.1458,77727,500,,,,0.0308458,0.0292061,0.00163963,-0.0291991,0.000386211,1,0.391218,0.0308388,0.00125342,ancestry_mean_separation_vs_matched_random_af_expected
PGS004840,filter_10,T2D,ok,6.05157e+06,5.44641e+06,605157,0.9,0.915685,20.3512,77727,500,,,,0.0308458,0.0303023,0.000543496,-0.0302921,-0.00186432,1,0.802395,0.0308356,0.00240781,ancestry_mean_separation_vs_matched_random_af_expected
PGS004840,filter_20,T2D,ok,6.05157e+06,4.84126e+06,1.21031e+06,0.8,0.830468,40.9204,77727,500,,,,0.0308458,0.0204885,0.0103573,-0.0204795,0.00562428,1,0.0239521,0.0308368,0.00473301,ancestry_mean_separation_vs_matched_random_af_expected
PGS004840,reweight_linear,T2D,ok,6.05157e+06,6.05157e+06,0,1,0.619905,91.7445,77727,500,,,,0.0308458,0.0308458,0,,-0.0110241,,0.998004,,0.0110241,ancestry_mean_separation_vs_matched_random_af_expected
PGS004840,reweight_exp,T2D,ok,6.05157e+06,6.05157e+06,0,1,0.332524,161.11,77727,500,,,,0.0308458,0.0308458,0,,-0.0195262,,1,,0.0195262,ancestry_mean_separation_vs_matched_random_af_expected
